x;y
0;0,000009
10;0,000087
20;0,000208
30;0,000382
40;0,000600
50;0,000851
60;0,001260
70;0,001533
80;0,001943
90;0,002374
100;0,002961
110;0,003351
120;0,003940
130;0,004707
140;0,005343
150;0,006324
160;0,006892
170;0,007750
180;0,008732
190;0,009342
200;0,010330
210;0,011204
220;0,012542
230;0,013541
240;0,014835
250;0,016359
260;0,017120
270;0,018545
280;0,020182
290;0,021233
300;0,022800
310;0,026754
320;0,026244
330;0,027142
340;0,028911
350;0,031172
360;0,032650
370;0,034264
380;0,036070
390;0,038326
400;0,041270
410;0,042413
420;0,044729
430;0,047931
440;0,048962
450;0,051321
460;0,053914
470;0,055163
480;0,058399
490;0,061037
500;0,063900
510;0,065468
520;0,069380
530;0,071373
540;0,073705
550;0,077094
560;0,080273
570;0,081981
580;0,085011
590;0,088146
600;0,091529
610;0,094645
620;0,097983
630;0,102505
640;0,104449
650;0,108278
660;0,111391
670;0,116127
680;0,118313
690;0,121517
700;0,124179
710;0,128470
720;0,132481
730;0,136165
740;0,140884
750;0,144035
760;0,149965
770;0,151649
780;0,156028
790;0,160451
800;0,164475
810;0,168431
820;0,171482
830;0,178462
840;0,181261
850;0,184284
860;0,191921
870;0,196736
880;0,199497
890;0,205258
900;0,209960
910;0,214184
920;0,217371
930;0,222750
940;0,228098
950;0,232921
960;0,241904
970;0,246312
980;0,248567
990;0,254103
